cotacaoCompra,dataHoraCotacao
3.2723,2017-01-02 13:07:18.146
3.2626,2017-01-03 13:07:34.023
3.2327,2017-01-04 13:11:50.501
3.2123,2017-01-05 13:04:07.266
3.2051,2017-01-06 13:13:42.955
3.2091,2017-01-09 13:08:58.927
3.1912,2017-01-10 13:08:06.682
3.2148,2017-01-11 13:07:48.319
3.1655,2017-01-12 13:03:09.376
3.2028,2017-01-13 13:09:16.027
3.2228,2017-01-16 13:12:00.606
3.2094,2017-01-17 13:06:55.733
3.2205,2017-01-18 13:05:28.424
3.2107,2017-01-19 13:08:52.51
3.1912,2017-01-20 13:13:39.174
3.1603,2017-01-23 13:12:54.933
3.1643,2017-01-24 13:09:02.65
3.1679,2017-01-25 13:11:24.662
3.1798,2017-01-26 13:04:31.844
3.159,2017-01-27 13:08:38.93
3.131,2017-01-30 13:11:37.661
3.1264,2017-01-31 13:08:43.585
3.1473,2017-02-01 13:05:55.817
3.119,2017-02-02 13:12:12.939
3.1235,2017-02-03 13:09:11.345
3.1173,2017-02-06 13:06:01.029
3.1298,2017-02-07 13:08:50.541
3.1248,2017-02-08 13:08:38.814
3.1179,2017-02-09 13:04:29.047
3.1149,2017-02-10 13:05:48.228
3.1169,2017-02-13 13:10:48.817
3.0998,2017-02-14 13:03:13.887
3.0773,2017-02-15 13:06:08.276
3.0504,2017-02-16 13:08:26.172
3.0944,2017-02-17 13:08:02.407
3.0912,2017-02-20 13:08:26.676
3.0964,2017-02-21 13:11:26.366
3.0818,2017-02-22 13:08:01.394
3.0632,2017-02-23 13:04:25.564
3.0987,2017-02-24 13:04:50.576
3.097,2017-03-01 15:37:01.96
3.1132,2017-03-02 13:06:27.32
3.1358,2017-03-03 13:07:10.168
3.1105,2017-03-06 13:03:53.512
3.1179,2017-03-07 13:08:12.549
3.1471,2017-03-08 13:03:50.024
3.1729,2017-03-09 13:10:47.085
3.1617,2017-03-10 13:06:40.688
3.1535,2017-03-13 13:03:09.637
3.1633,2017-03-14 13:08:15.562
3.1623,2017-03-15 13:08:35.316
3.1074,2017-03-16 13:10:52.126
3.1069,2017-03-17 13:05:02.642
3.0892,2017-03-20 13:10:47.051
3.0759,2017-03-21 13:03:42.922
3.0933,2017-03-22 13:02:37.397
3.1242,2017-03-23 13:11:51.958
3.1276,2017-03-24 13:05:41.423
3.125,2017-03-27 13:09:39.543
3.1297,2017-03-28 13:05:53.887
3.1223,2017-03-29 13:07:50.06
3.1241,2017-03-30 13:04:37.167
3.1678,2017-03-31 13:04:37.024
3.1161,2017-04-03 13:11:51.252
3.1225,2017-04-04 13:14:37.607
3.0917,2017-04-05 13:09:36.589
3.1154,2017-04-06 13:03:01.171
3.1296,2017-04-07 13:04:41.774
3.1403,2017-04-10 13:04:10.183
3.1418,2017-04-11 13:12:29.768
3.1457,2017-04-12 13:06:48.766
3.1263,2017-04-13 13:09:28.107
3.103,2017-04-17 13:05:51.148
3.0952,2017-04-18 13:11:11.625
3.1288,2017-04-19 13:09:50.695
3.1447,2017-04-20 13:10:38.938
3.1245,2017-04-24 13:06:53.08
3.1571,2017-04-25 13:12:37.494
3.1841,2017-04-26 13:02:41.795
3.1757,2017-04-27 13:04:42.331
3.1978,2017-04-28 13:10:52.336
3.1718,2017-05-02 13:05:31.845
3.1483,2017-05-03 13:11:44.442
3.1774,2017-05-04 13:06:37.798
3.1758,2017-05-05 13:10:18.101
3.1932,2017-05-08 13:09:42.404
3.1851,2017-05-09 13:07:46.101
3.16,2017-05-10 13:02:56.565
3.1553,2017-05-11 13:09:03.951
3.1284,2017-05-12 13:09:38.952
3.1005,2017-05-15 13:10:14.948
3.0918,2017-05-16 13:06:34.653
3.107,2017-05-17 13:12:09.748
3.3756,2017-05-18 13:05:58.487
3.2872,2017-05-19 13:11:29.308
3.2857,2017-05-22 13:07:00.554
3.2648,2017-05-23 13:02:54.33
3.2623,2017-05-24 13:07:42.187
3.2818,2017-05-25 13:02:59.753
3.2608,2017-05-26 13:06:53.597
3.2703,2017-05-29 13:09:25.777
3.2653,2017-05-30 13:07:25.626
3.2431,2017-05-31 13:07:50.415
3.2301,2017-06-01 13:09:48.76
3.2395,2017-06-02 13:04:05.317
3.2814,2017-06-05 13:05:00.105
3.2811,2017-06-06 13:03:50.101
3.2741,2017-06-07 13:10:02.741
3.2832,2017-06-08 13:09:17.114
3.2734,2017-06-09 13:06:44.063
3.298,2017-06-12 13:10:22.504
3.3202,2017-06-13 13:07:17.021
3.283,2017-06-14 13:05:49.215
3.2886,2017-06-16 13:09:51.845
3.2969,2017-06-19 13:09:35.161
3.3139,2017-06-20 13:09:57.194
3.3241,2017-06-21 13:06:38.103
3.3356,2017-06-22 13:11:48.369
3.3336,2017-06-23 13:05:41.49
3.3122,2017-06-26 13:03:38.941
3.3166,2017-06-27 13:10:03.464
3.3024,2017-06-28 13:09:53.266
3.2946,2017-06-29 13:08:49.398
3.3076,2017-06-30 13:07:06.19
3.3009,2017-07-03 13:08:51.099
3.3044,2017-07-04 13:09:38.583
3.3187,2017-07-05 13:07:52.841
3.3058,2017-07-06 13:10:04.143
3.2889,2017-07-07 13:10:59.626
3.2644,2017-07-10 13:04:58.325
3.2516,2017-07-11 13:07:42.2
3.2258,2017-07-12 13:05:55.372
3.2102,2017-07-13 13:03:24.642
3.1893,2017-07-14 13:08:48.555
3.1815,2017-07-17 13:06:09.489
3.1662,2017-07-18 13:04:08.526
3.1527,2017-07-19 13:03:40.198
3.1396,2017-07-20 13:11:38.587
3.125,2017-07-21 13:06:09.241
3.1453,2017-07-24 13:03:28.355
3.155,2017-07-25 13:09:53.994
3.1651,2017-07-26 13:05:57.227
3.1507,2017-07-27 13:02:54.362
3.1451,2017-07-28 13:09:51.799
3.1301,2017-07-31 13:03:36.031
